Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2013-03-13,Zenith Finance Limited,,9,97.00,95.00,96.00,302.00,29042.00,95.00,1.00 ,
2013-03-14,Zenith Finance Limited,,4,96.00,95.00,96.00,992.00,94808.00,96.00,0.00 ,
2013-03-17,Zenith Finance Limited,,13,96.00,94.00,96.00,404.00,38580.00,96.00,0.00 ,
2013-03-18,Zenith Finance Limited,,6,95.00,94.00,95.00,317.00,30103.00,96.00,-1.00 ,
2013-03-19,Zenith Finance Limited,,11,97.00,96.00,97.00,328.00,31768.00,95.00,2.00 ,
2013-03-21,Zenith Finance Limited,,2,96.00,96.00,96.00,176.00,16896.00,95.00,1.00 ,
2013-03-24,Zenith Finance Limited,,16,95.00,94.00,95.00,900.00,85332.00,96.00,-1.00 ,
2013-03-25,Zenith Finance Limited,,46,96.00,95.00,95.00,1440.00,137964.00,95.00,0.00 ,
2013-03-27,Zenith Finance Limited,,21,97.00,96.00,96.00,672.00,64712.00,95.00,1.00 ,
2013-03-28,Zenith Finance Limited,,11,97.00,95.00,96.00,180.00,17292.00,96.00,0.00 ,
2013-03-31,Om Development Bank Ltd.,ODBL,15,165.00,155.00,155.00,247.00,40270.00,166.00,-11.00 ,Development Banks
2013-04-01,Zenith Finance Limited,,8,95.00,94.00,95.00,184.00,17384.00,95.00,0.00 ,
2013-04-02,Om Development Bank Ltd.,ODBL,6,160.00,154.00,157.00,183.00,28740.00,157.00,0.00 ,Development Banks
2013-04-03,Zenith Finance Limited,,1,97.00,97.00,97.00,48.00,4656.00,96.00,1.00 ,
2013-04-04,Zenith Finance Limited,,3,96.00,96.00,96.00,132.00,12672.00,97.00,-1.00 ,
2013-04-07,Zenith Finance Limited,,5,97.00,95.00,97.00,492.00,46860.00,96.00,1.00 ,
2013-04-08,Zenith Finance Limited,,14,98.00,97.00,97.00,520.00,50464.00,97.00,0.00 ,
2013-04-09,Society Development Bank Ltd.,,7,61.00,59.00,59.00,2261.00,136160.00,58.00,1.00 ,
2013-04-11,Unique Finance Ltd.,,3,86.00,85.00,86.00,220.00,18740.00,84.00,2.00 ,
2013-04-15,Zenith Finance Limited,,13,95.00,94.00,95.00,3248.00,306876.00,95.00,0.00 ,
2013-04-16,Zenith Finance Limited,,7,95.00,93.00,93.00,270.00,25278.00,95.00,-2.00 ,
2013-04-17,Zenith Finance Limited,,7,95.00,94.00,94.00,252.00,23788.00,93.00,1.00 ,
2013-04-18,Zenith Finance Limited,,2,93.00,93.00,93.00,112.00,10416.00,94.00,-1.00 ,
2013-04-21,United Finance Ltd.,UFL,5,143.00,141.00,143.00,160.00,22752.00,142.00,1.00 ,Finance
2013-04-22,United Finance Ltd.,UFL,1,145.00,145.00,145.00,388.00,56260.00,143.00,2.00 ,Finance
2013-04-23,Triveni Bikas Bank Limited,,2,145.00,144.00,145.00,125.00,18095.00,143.00,2.00 ,
2013-04-25,Western Development Bank Limited,,3,86.00,86.00,86.00,180.00,15480.00,87.00,-1.00 ,
2013-04-28,Zenith Finance Limited,,6,92.00,88.00,88.00,218.00,19520.00,93.00,-5.00 ,
2013-04-29,Zenith Finance Limited,,23,95.00,88.00,95.00,1122.00,105498.00,88.00,7.00 ,
2013-04-30,Zenith Finance Limited,,14,102.00,94.00,102.00,314.00,30074.00,95.00,7.00 ,
2013-05-02,Zenith Finance Limited,,25,100.00,92.00,92.00,1180.00,111616.00,102.00,-10.00 ,
2013-05-05,Zenith Finance Limited,,1,92.00,92.00,92.00,102.00,9384.00,92.00,0.00 ,
